# Alpha 3 First Launch Ever (Up to date)
# 929 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (in),CG location (in),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (in),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,57.1,23.1,4.12e-4,1.321e-5,9.792,NaN,7.17,NaN,0,0,0,0.79,0.496,0.174,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.718,225,15,1013.25,0.001,340.389,0.011,7.716e4,0.976,4.831,0.01,0.01,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,57.094,23.094,4.119e-4,1.321e-5,9.792,NaN,7.169,NaN,0.305,0.546,0,0.791,0.497,0.174,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.705,225,15,1013.25,0.001,340.389,0.011,7.689e4,0.976,4.831,0.01,0.019,0
0.02,0,0,0.001,0.002,0.899,1.03,0,0,0,0,8.397e-4,0.504,28.61,-80.6,89.977,0,0,0,90,0,57.088,23.088,4.119e-4,1.321e-5,9.792,NaN,7.169,NaN,0.61,1.092,0,0.791,0.497,0.174,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.691,225,15,1013.25,0.001,340.389,0.011,7.659e4,0.976,4.831,0.011,0.02,1.735e-7
0.031,1.895e-4,1.895e-4,0.044,0.044,6.78,6.799,2.799e-5,2.799e-5,3.958e-5,45,0.006,0.498,28.61,-80.6,89.317,0,0,0,90,0,57.082,23.082,4.119e-4,1.321e-5,9.792,NaN,7.169,NaN,0.946,1.692,1.333e-8,0.792,0.498,0.174,0.12,3.345e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.676,225,15,1013.25,0.001,340.389,0.011,7.618e4,0.976,4.831,0.01,0.021,5.326e-6
0.041,0.001,0.001,0.167,0.168,17.941,17.947,9.04e-5,9.04e-5,1.278e-4,45,0.011,0.493,28.61,-80.6,87.377,0,0,0,90,0,57.047,23.047,4.118e-4,1.321e-5,9.792,NaN,7.168,NaN,1.582,2.832,7.359e-7,0.793,0.498,0.174,0.12,1.861e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.663,225,15,1013.25,0.001,340.389,0.011,7.587e4,0.976,4.831,0.01,0.022,2.09e-5
0.051,0.004,0.004,0.403,0.403,29.114,29.119,1.877e-4,1.877e-4,2.655e-4,44.999,0.016,0.495,28.61,-80.6,83.692,0,0,0,90,0,57.011,23.011,4.117e-4,1.32e-5,9.792,NaN,7.167,NaN,2.218,3.973,9.874e-6,0.792,0.498,0.174,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.658,225,15,1013.25,0.001,340.389,0.011,7.605e4,0.976,4.831,0.01,0.023,5.077e-5
0.061,0.01,0.01,0.75,0.75,40.302,40.305,3.203e-4,3.203e-4,4.53e-4,44.999,0.021,0.528,28.61,-80.6,78.573,0,0,0,90,0,56.976,22.976,4.116e-4,1.32e-5,9.792,NaN,7.166,NaN,2.854,5.116,5.875e-5,0.788,0.494,0.174,0.12,0.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.73,225,15,1013.249,0.001,340.389,0.011,7.853e4,0.976,4.831,0.01,0.023,9.495e-5
0.071,0.019,0.019,1.209,1.209,51.5,51.504,4.904e-4,4.904e-4,6.935e-4,44.998,0.027,0.577,28.61,-80.6,72.247,0,0,0,90,0,56.941,22.941,4.116e-4,1.32e-5,9.792,NaN,7.165,NaN,3.49,6.26,2.222e-4,0.782,0.488,0.174,0.12,0.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.802,225,15,1013.248,0.001,340.389,0.012,8.227e4,0.976,4.831,0.01,0.024,1.535e-4
# Event LIFTOFF occurred at t=0.081 seconds
0.081,0.034,0.034,1.78,1.78,62.709,62.709,7.013e-4,7.014e-4,9.919e-4,44.997,0.033,0,28.61,-80.6,65.14,0,0,0,90,0,56.905,22.905,4.115e-4,1.32e-5,9.792,NaN,7.163,NaN,4.126,7.405,6.267e-4,0.773,0.479,0.174,0.12,0.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.874,225,15,1013.246,0.001,340.389,0.012,8.786e4,0.976,4.831,0.011,0.025,2.263e-4
