# Alpha 3 -15 Angle (Up to date)
# 940 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (in),CG location (in),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (in),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,225,57.1,23.1,4.12e-4,1.321e-5,9.792,NaN,7.17,NaN,0,0,1.336e-4,0.784,0.49,0.174,0.12,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.884,225,15,1013.25,0.001,340.389,0.011,8.062e4,0.976,4.831,0.01,0.001,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,225,57.094,23.094,4.119e-4,1.321e-5,9.792,NaN,7.169,NaN,0.305,0.546,1.331e-4,0.785,0.491,0.174,0.12,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.877,225,15,1013.25,0.001,340.389,0.011,8.047e4,0.976,4.831,0.01,0.002,0
0.02,0,0,0.001,0.004,0.675,2.334,0,0,0,0,0.004,2.234,28.61,-80.6,74.983,0,0,0,75,225,57.088,23.088,4.119e-4,1.321e-5,9.792,NaN,7.169,NaN,0.61,1.092,1.333e-4,0.785,0.491,0.174,0.12,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.87,225,15,1013.25,0.001,340.389,0.011,8.039e4,0.976,4.831,0.011,0.002,5.051e-7
0.031,1.678e-4,1.678e-4,0.04,0.054,6.358,7.381,-1.462e-4,-1.462e-4,2.067e-4,225,0.037,3.75,28.61,-80.6,74.415,0,0,0,75,225,57.082,23.082,4.119e-4,1.321e-5,9.792,NaN,7.169,NaN,0.946,1.692,1.498e-4,0.784,0.49,0.174,0.12,0.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.862,225,15,1013.25,0.001,340.389,0.011,8.091e4,0.976,4.831,0.01,0.002,7.871e-6
0.041,0.001,0.001,0.157,0.18,17.14,18.376,-5.718e-4,-5.718e-4,8.086e-4,225,0.089,6.625,28.61,-80.6,72.716,0,0,0,75,225,57.047,23.047,4.118e-4,1.321e-5,9.792,NaN,7.168,NaN,1.582,2.832,2.045e-4,0.782,0.488,0.174,0.12,0.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.854,225,15,1013.25,0.001,340.389,0.012,8.189e4,0.976,4.831,0.01,0.002,2.615e-5
0.051,0.004,0.004,0.383,0.418,27.937,29.506,-0.001,-0.001,0.002,225,0.169,9.495,28.61,-80.6,69.552,0,0,0,75,225,57.011,23.011,4.117e-4,1.32e-5,9.792,NaN,7.167,NaN,2.218,3.973,3.381e-4,0.779,0.486,0.174,0.12,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.843,225,15,1013.25,0.001,340.389,0.012,8.365e4,0.976,4.831,0.01,0.005,5.994e-5
0.061,0.009,0.009,0.716,0.768,38.746,40.671,-0.003,-0.003,0.004,225,0.278,12.363,28.61,-80.6,65.043,0,0,0,75,225,56.976,22.976,4.116e-4,1.32e-5,9.792,NaN,7.166,NaN,2.854,5.116,6.082e-4,0.776,0.482,0.174,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.801,225,15,1013.249,0.001,340.389,0.012,8.595e4,0.976,4.831,0.01,0.005,1.093e-4
0.071,0.018,0.018,1.158,1.23,49.57,51.852,-0.005,-0.005,0.008,225,0.416,15.213,28.61,-80.6,59.5,0,0,0,75,225,56.941,22.941,4.116e-4,1.32e-5,9.792,NaN,7.165,NaN,3.49,6.26,0.001,0.77,0.476,0.173,0.12,0.201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.758,225,15,1013.248,0.001,340.389,0.013,8.99e4,0.976,4.831,0.01,0.005,1.741e-4
# Event LIFTOFF occurred at t=0.081 seconds
0.081,0.033,0.033,1.708,1.804,60.872,63.019,-0.009,-0.009,0.013,225,0.583,16.311,28.61,-80.6,53.333,0,0,0,75,225,56.905,22.905,4.115e-4,1.32e-5,9.792,NaN,7.163,NaN,4.126,7.405,0.002,0.762,0.468,0.173,0.12,0.313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.715,225,15,1013.246,0.001,340.389,0.014,9.598e4,0.976,4.831,0.011,0.005,2.546e-4
