# D12-3 Motor Altitude/Lateral vs Time (Up to date)
# 268 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (in),CG location (in),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (in),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,33.358,-111.771,85,0,0,0,85,90,288.619,42.6,0.025,3.21e-4,9.796,NaN,23.902,NaN,0,0,2.314e-5,0.697,0.397,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.159,90,15,1013.25,0.001,340.389,0.009,1.975e5,2.6,34.253,0.01,0.002,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,33.358,-111.771,85,0,0,0,85,90,288.603,42.584,0.025,3.21e-4,9.796,NaN,23.901,NaN,0.524,0.185,2.339e-5,0.697,0.396,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.178,90,15,1013.25,0.001,340.389,0.009,1.986e5,2.6,34.253,0.01,0.002,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,33.358,-111.771,85,0,0,0,85,90,288.587,42.568,0.025,3.21e-4,9.796,NaN,23.901,NaN,1.049,0.371,2.365e-5,0.696,0.396,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.196,90,15,1013.25,0.001,340.389,0.009,1.998e5,2.6,34.253,0.01,0.003,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,33.358,-111.771,85,0,0,0,85,90,288.571,42.552,0.025,3.21e-4,9.796,NaN,23.9,NaN,1.573,0.556,2.39e-5,0.696,0.395,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.215,90,15,1013.25,0.001,340.389,0.009,2.009e5,2.6,34.253,0.01,0.003,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,33.358,-111.771,85,0,0,0,85,90,288.555,42.536,0.025,3.21e-4,9.796,NaN,23.9,NaN,2.097,0.742,2.416e-5,0.695,0.395,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.233,90,15,1013.25,0.001,340.389,0.009,2.021e5,2.6,34.253,0.009,0.003,0
0.049,0,0,0,0,0,0,0,0,0,0,0,0,33.358,-111.771,85,0,0,0,85,90,288.54,42.521,0.025,3.21e-4,9.796,NaN,23.899,NaN,2.569,0.909,2.44e-5,0.694,0.394,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,90,15,1013.25,0.001,340.389,0.01,2.031e5,2.6,34.253,0.01,0.003,0
0.059,2.896e-5,2.896e-5,0.01,0.011,2.623,2.692,1.506e-5,0,1.506e-5,90,0.004,0.606,33.358,-111.771,84.821,0,0,0,85,90,288.465,42.446,0.025,3.21e-4,9.796,NaN,23.896,NaN,3.584,1.268,2.703e-5,0.695,0.394,0.18,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.244,90,15,1013.25,0.001,340.389,0.01,2.03e5,2.6,34.253,0.01,0.004,1.37e-6
0.069,3.202e-4,3.202e-4,0.054,0.055,6.132,6.199,9.071e-5,0,9.071e-5,90,0.012,0.913,33.358,-111.771,84.048,0,0,0,85,90,288.39,42.372,0.025,3.21e-4,9.796,NaN,23.893,NaN,4.599,1.628,4.064e-5,0.695,0.394,0.18,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.235,90,15,1013.25,0.001,340.389,0.01,2.029e5,2.6,34.253,0.01,0.004,6.785e-6
0.079,0.001,0.001,0.133,0.135,9.642,9.719,2.577e-4,0,2.577e-4,90,0.022,1.22,33.358,-111.771,82.658,0,0,0,85,90,288.316,42.297,0.025,3.21e-4,9.796,NaN,23.89,NaN,5.614,1.988,7.528e-5,0.694,0.394,0.18,0.12,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.225,90,15,1013.25,0.001,340.389,0.01,2.032e5,2.6,34.253,0.01,0.004,1.65e-5
0.089,0.003,0.003,0.247,0.249,13.155,13.243,5.466e-4,0,5.466e-4,90,0.036,1.525,33.358,-111.771,80.661,0,0,0,85,90,288.241,42.222,0.025,3.209e-4,9.796,NaN,23.887,NaN,6.629,2.348,1.525e-4,0.694,0.394,0.18,0.12,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.216,90,15,1013.25,0.001,340.389,0.01,2.039e5,2.6,34.253,0.01,0.004,3.052e-5
