# F32T-6 Motor Altitude/Lateral vs Time (Up to date)
# 590 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (in),CG location (in),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (in),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.019,64,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.007,0.002,0,0.713,0.412,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.705,45,15,1013.25,0.001,340.389,0.008,1.69e5,2.6,34.253,0.01,0.002,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.018,63.999,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.02,0.007,0,0.712,0.411,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.725,45,15,1013.25,0.001,340.389,0.008,1.703e5,2.6,34.253,0.01,0.003,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.018,63.999,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.034,0.011,0,0.711,0.41,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.744,45,15,1013.25,0.001,340.389,0.008,1.715e5,2.6,34.253,0.01,0.003,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.017,63.998,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.047,0.016,0,0.71,0.41,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.764,45,15,1013.25,0.001,340.389,0.008,1.728e5,2.6,34.253,0.01,0.003,0
0.04,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.017,63.998,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.061,0.02,0,0.71,0.409,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.784,45,15,1013.25,0.001,340.389,0.008,1.74e5,2.6,34.253,0.01,0.003,0
0.05,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.016,63.997,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.074,0.024,0,0.709,0.408,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.804,45,15,1013.25,0.001,340.389,0.008,1.753e5,2.6,34.253,0.01,0.003,0
0.06,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.016,63.997,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.088,0.029,0,0.708,0.408,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.829,45,15,1013.25,0.001,340.389,0.008,1.768e5,2.6,34.253,0.01,0.004,0
0.07,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.015,63.996,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.101,0.033,0,0.707,0.407,0.181,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.853,45,15,1013.25,0.001,340.389,0.008,1.783e5,2.6,34.253,0.01,0.004,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.015,63.996,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.115,0.038,0,0.706,0.406,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.878,45,15,1013.25,0.001,340.389,0.008,1.799e5,2.6,34.253,0.01,0.004,0
0.09,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.014,63.995,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.128,0.042,0,0.706,0.405,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.902,45,15,1013.25,0.001,340.389,0.009,1.814e5,2.6,34.253,0.01,0.004,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.013,63.994,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.142,0.047,0,0.705,0.404,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.927,45,15,1013.25,0.001,340.389,0.009,1.829e5,2.6,34.253,0.01,0.004,0
0.11,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.013,63.994,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.156,0.051,0,0.705,0.405,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.911,45,15,1013.25,0.001,340.389,0.009,1.819e5,2.6,34.253,0.01,0.005,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.012,63.993,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.169,0.056,0,0.706,0.405,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.895,45,15,1013.25,0.001,340.389,0.009,1.81e5,2.6,34.253,0.01,0.005,0
0.13,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.012,63.993,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.183,0.06,0,0.706,0.406,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.88,45,15,1013.25,0.001,340.389,0.008,1.8e5,2.6,34.253,0.01,0.005,0
0.14,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,310.011,63.992,0.026,3.225e-4,9.792,NaN,24.548,NaN,0.196,0.065,0,0.707,0.406,0.18,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.864,45,15,1013.25,0.001,340.389,0.008,1.79e5,2.6,34.253,0.01,0.005,0
