# Simulation 1 (Up to date)
# 4239 data points written for 58 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (in),CG location (in),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (in),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,3.292e4,3.267e4,2.57,0.106,9.792,NaN,17.594,NaN,0,0,0,0.746,0.444,0.182,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.99,90,15,1013.25,0.001,340.389,0.006,1.244e5,2.6,34.253,0.01,0.001,0
0.01,5.228e-4,5.228e-4,0.173,0.173,41.175,41.175,-4.987e-8,0,4.987e-8,270,1.253e-5,0.002,28.61,-80.6,85.082,0,0,0,90,0,3.29e4,3.265e4,2.569,0.106,9.792,NaN,17.594,NaN,1676.663,5.205,9.617e-6,0.744,0.442,0.181,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.012,90,15,1013.25,0.001,340.389,0.006,1.262e5,2.6,34.253,0.01,0.002,2.217e-5
0.02,0.005,0.005,0.84,0.84,92.208,92.208,-2.557e-7,0,2.557e-7,270,2.918e-5,0.002,28.61,-80.6,67.567,0,0,0,90,0,3.288e4,3.263e4,2.567,0.106,9.792,NaN,17.594,NaN,3353.325,10.417,8.67e-4,0.734,0.433,0.181,0.12,0.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,15,1013.249,0.001,340.389,0.006,1.376e5,2.6,34.253,0.01,0.003,1.076e-4
0.03,0.019,0.019,2.018,2.018,143.307,143.307,-6.554e-7,0,6.554e-7,270,5.274e-5,0.003,28.61,-80.6,45.556,0,0,0,90,0,3.285e4,3.261e4,2.565,0.106,9.792,NaN,17.594,NaN,5029.987,15.635,0.008,0.706,0.406,0.18,0.12,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.057,90,15,1013.248,0.001,340.389,0.008,1.801e5,2.6,34.253,0.01,0.003,2.583e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.047,0.047,3.706,3.706,194.472,194.472,-1.538e-6,0,1.538e-6,270,1.367e-4,0,28.61,-80.6,29.294,0,0,0,90,0,3.283e4,3.259e4,2.564,0.106,9.792,NaN,17.595,NaN,6706.65,20.86,0.029,0.67,0.371,0.18,0.12,0.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.08,90,15,1013.244,0.001,340.389,0.012,2.656e5,2.6,34.253,0.01,0.003,4.746e-4
0.05,0.095,0.095,5.907,5.907,245.703,245.703,-2.905e-6,0,2.905e-6,270,1.367e-4,0,28.61,-80.6,19.585,0,0,0,90,0,3.281e4,3.257e4,2.562,0.106,9.792,NaN,17.595,NaN,8383.313,26.092,0.068,0.639,0.34,0.179,0.12,0.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.102,90,14.999,1013.239,0.001,340.389,0.018,3.919e5,2.6,34.253,0.006,0.003,7.563e-4
0.056,0.135,0.135,7.474,7.474,276.472,276.472,-3.725e-6,0,3.725e-6,270,1.367e-4,0,28.61,-80.6,15.674,0,0,0,90,0,3.28e4,3.255e4,2.561,0.106,9.792,NaN,17.595,NaN,9389.31,29.234,0.102,0.623,0.324,0.179,0.12,0.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.097,90,14.999,1013.234,0.001,340.388,0.023,4.852e5,2.6,34.253,0.009,0.004,9.569e-4
0.065,0.213,0.213,9.9,9.9,262.66,262.66,-4.955e-6,0,4.955e-6,270,1.367e-4,0,28.61,-80.6,11.922,0,0,0,90,0,3.276e4,3.252e4,2.558,0.106,9.792,NaN,17.595,NaN,8926.473,27.824,0.161,0.605,0.307,0.178,0.12,0.748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09,90,14.999,1013.225,0.001,340.388,0.03,6.324e5,2.6,34.253,0.01,0.004,0.001
0.075,0.325,0.325,12.45,12.45,247.278,247.278,-6.322e-6,0,6.322e-6,270,1.367e-4,0,28.61,-80.6,9.496,0,0,0,90,0,3.272e4,3.248e4,2.555,0.106,9.792,NaN,17.595,NaN,8412.21,26.253,0.234,0.596,0.297,0.178,0.12,0.701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.083,90,14.998,1013.212,0.001,340.388,0.037,7.889e5,2.6,34.253,0.008,0.005,0.002
